Temperature,Cp
100.0,33.31
200.0,33.354
298.15,33.609
300.0,33.618
400.0,34.146
500.0,35.071
600.0,36.289
700.0,37.606
800.0,38.942
900.0,40.261
1000.0,41.544
1100.0,42.782
1200.0,43.969
1300.0,45.105
1400.0,46.186
1500.0,47.215
1600.0,48.191
1700.0,49.117
1800.0,49.992
1900.0,50.819
2000.0,51.6
2100.0,52.336
2200.0,53.03
2300.0,53.682
2400.0,54.296
2500.0,54.873
2600.0,55.415
2700.0,55.924
2800.0,56.402
2900.0,56.851
3000.0,57.274
3100.0,57.671
3200.0,58.046
3300.0,58.399
3400.0,58.732
3500.0,59.049
3600.0,59.349
3700.0,59.635
3800.0,59.909
3900.0,60.172
4000.0,60.427
4100.0,60.673
4200.0,60.914
4300.0,61.15
4400.0,61.384
4500.0,61.617
4600.0,61.849
4700.0,62.084
4800.0,62.322
4900.0,62.566
5000.0,62.816
5100.0,63.074
5200.0,63.343
5300.0,63.623
5400.0,63.893
5500.0,64.143
5600.0,64.365
5700.0,64.549
5800.0,64.721
5900.0,64.882
6000.0,65.03
6200.0,65.29
6400.0,65.499
6600.0,65.658
6800.0,65.767
7000.0,65.826
7200.0,65.838
7400.0,65.804
7600.0,65.726
7800.0,65.608
8000.0,65.452
8200.0,65.263
8400.0,65.044
8600.0,64.799
8800.0,64.533
9000.0,64.249
9200.0,63.951
9400.0,63.644
9600.0,63.332
9800.0,63.017
10000.0,62.705
10500.0,61.954
11000.0,61.276
