Temperature,Cp
100.0,23.703
200.0,22.734
298.15,21.911
300.0,21.901
400.0,21.482
500.0,21.257
600.0,21.124
700.0,21.04
800.0,20.984
900.0,20.944
1000.0,20.915
1100.0,20.893
1200.0,20.877
1300.0,20.864
1400.0,20.853
1500.0,20.845
1600.0,20.838
1700.0,20.833
1800.0,20.83
1900.0,20.827
2000.0,20.826
2100.0,20.827
2200.0,20.83
2300.0,20.835
2400.0,20.841
2500.0,20.851
2600.0,20.862
2700.0,20.877
2800.0,20.894
2900.0,20.914
3000.0,20.937
3100.0,20.963
3200.0,20.991
3300.0,21.022
3400.0,21.056
3500.0,21.092
3600.0,21.13
3700.0,21.17
3800.0,21.213
3900.0,21.257
4000.0,21.302
4100.0,21.349
4200.0,21.397
4300.0,21.445
4400.0,21.495
4500.0,21.545
4600.0,21.596
4700.0,21.647
4800.0,21.697
4900.0,21.748
5000.0,21.799
5100.0,21.849
5200.0,21.899
5300.0,21.949
5400.0,21.997
5500.0,22.045
5600.0,22.093
5700.0,22.139
5800.0,22.184
5900.0,22.229
6000.0,22.273
6200.0,22.356
6400.0,22.436
6600.0,22.51
6800.0,22.581
7000.0,22.646
7200.0,22.707
7400.0,22.763
7600.0,22.814
7800.0,22.861
8000.0,22.904
8200.0,22.943
8400.0,22.978
8600.0,23.009
8800.0,23.036
9000.0,23.061
9200.0,23.082
9400.0,23.1
9600.0,23.115
9800.0,23.127
10000.0,23.137
10500.0,23.153
11000.0,23.156
