Temperature,Cp
100.0,31.628
200.0,30.515
298.15,29.886
300.0,29.879
400.0,29.604
500.0,29.495
600.0,29.513
700.0,29.655
800.0,29.914
900.0,30.265
1000.0,30.682
1100.0,31.135
1200.0,31.603
1300.0,32.069
1400.0,32.522
1500.0,32.956
1600.0,33.367
1700.0,33.753
1800.0,34.114
1900.0,34.451
2000.0,34.766
2100.0,35.059
2200.0,35.334
2300.0,35.591
2400.0,35.833
2500.0,36.06
2600.0,36.275
2700.0,36.479
2800.0,36.673
2900.0,36.858
3000.0,37.036
3100.0,37.206
3200.0,37.371
3300.0,37.53
3400.0,37.685
3500.0,37.835
3600.0,37.982
3700.0,38.125
3800.0,38.265
3900.0,38.402
4000.0,38.535
4100.0,38.666
4200.0,38.793
4300.0,38.917
4400.0,39.038
4500.0,39.155
4600.0,39.269
4700.0,39.378
4800.0,39.482
4900.0,39.582
5000.0,39.677
5100.0,39.766
5200.0,39.85
5300.0,39.927
5400.0,39.999
5500.0,40.063
5600.0,40.121
5700.0,40.172
5800.0,40.216
5900.0,40.252
6000.0,40.28
6200.0,40.315
6400.0,40.319
6600.0,40.292
6800.0,40.234
7000.0,40.148
7200.0,40.033
7400.0,39.892
7600.0,39.727
7800.0,39.538
8000.0,39.329
8200.0,39.101
8400.0,38.857
8600.0,38.598
8800.0,38.326
9000.0,38.044
9200.0,37.752
9400.0,37.454
9600.0,37.15
9800.0,36.842
10000.0,36.531
10500.0,35.749
11000.0,34.973
